0	-0.008609145879745483 0.009228385984897614 -0.11632813513278961 0.16683125495910645 0.17225222289562225 0.0024194344878196716 -0.15752080082893372 0.1564161330461502 -0.44314199686050415 0.5225763916969299 0.16568782925605774 0.017860233783721924 0.23957189917564392 -0.11370790004730225 -0.09268542379140854 0.190576434135437 0.2536631226539612 0.21180689334869385 -0.13164424896240234 -0.022627107799053192 -0.12764526903629303 0.008057266473770142 -0.11254078149795532 -0.6855592131614685 -0.5869354605674744 -0.09766778349876404 0.11605964601039886 -0.25874030590057373 0.29599568247795105 -0.11734360456466675 0.08731324225664139 -0.2291097342967987
1	23.39852523803711 -1.4308531284332275 -39.53349685668945 8.353500366210938 0.625320553779602 -13.409358024597168 -33.405982971191406 -17.519058227539062 41.50975036621094 -43.78578567504883 -38.08454132080078 -10.794204711914062 11.915342330932617 -3.8150508403778076 -26.29232406616211 14.674466133117676 11.066006660461426 2.7132303714752197 -24.505823135375977 14.04261302947998 14.409624099731445 23.11516571044922 45.01117706298828 33.590431213378906 35.161712646484375 -13.141800880432129 -23.202449798583984 25.96385383605957 -27.711660385131836 9.031022071838379 2.8667426109313965 23.504196166992188
10	131.80044555664062 18.11992073059082 -199.03724670410156 36.97856903076172 8.12175178527832 -77.75274658203125 -170.49276733398438 -114.39010620117188 238.9083251953125 -242.09654235839844 -202.47393798828125 -66.47261047363281 64.21858978271484 -30.911996841430664 -140.22662353515625 76.8026351928711 59.342247009277344 31.990798950195312 -129.18820190429688 90.25672912597656 95.84103393554688 112.3013916015625 224.55152893066406 193.69635009765625 205.93936157226562 -75.62348175048828 -130.275390625 134.11737060546875 -150.0850830078125 53.264312744140625 28.088571548461914 147.0968017578125
100	0.1650233119726181 0.19344237446784973 0.09936149418354034 -0.0770668163895607 -0.07001009583473206 -0.10362674295902252 0.068459153175354 -0.08939516544342041 -0.09525405615568161 0.153428852558136 0.03331843018531799 0.18910515308380127 -0.028515608981251717 0.08302818238735199 -0.08928383886814117 -0.05698583275079727 -0.009808456525206566 -0.033053066581487656 0.10104630887508392 0.16739514470100403 -0.17567206919193268 -0.18347324430942535 -0.24034856259822845 -0.2568570077419281 -0.1877070963382721 0.11584163457155228 -0.08694534003734589 -0.3484153151512146 0.03753456473350525 -0.009774683974683285 -0.06693702936172485 0.04375316575169563
1000	48.59404373168945 0.5846193432807922 -73.81229400634766 12.961222648620605 -2.0124104022979736 -27.98240089416504 -61.972251892089844 -37.486629486083984 84.13578033447266 -88.4290771484375 -75.40716552734375 -17.81231689453125 19.931665420532227 -4.630825996398926 -51.70520782470703 25.350126266479492 18.45364761352539 2.2615082263946533 -44.36422348022461 30.591358184814453 26.34555435180664 41.59226989746094 84.55877685546875 68.59771728515625 71.7684326171875 -22.374048233032227 -48.040042877197266 47.22686767578125 -56.63835525512695 18.74117660522461 3.376662492752075 49.14545822143555
1001	24.71368408203125 -1.0737435817718506 -40.741886138916016 8.29086685180664 0.2607208490371704 -14.179618835449219 -34.38047409057617 -18.63301658630371 43.57014846801758 -45.91749572753906 -39.765533447265625 -10.834224700927734 12.003570556640625 -3.629625082015991 -27.418123245239258 14.877433776855469 11.142221450805664 2.460035800933838 -25.08649253845215 15.006670951843262 14.774245262145996 23.626710891723633 46.44047164916992 35.307064056396484 36.95948028564453 -13.280116081237793 -24.4840030670166 26.589679718017578 -29.14491844177246 9.532037734985352 2.714815855026245 24.856792449951172
1002	67.10295867919922 -0.0980110764503479 -104.03030395507812 19.006683349609375 -1.9442133903503418 -38.60640335083008 -87.45339965820312 -51.490989685058594 116.72871398925781 -122.77117919921875 -105.07392883300781 -25.76926040649414 28.737327575683594 -7.227175712585449 -72.132080078125 36.301109313964844 26.622976303100586 3.971602201461792 -62.917144775390625 41.880767822265625 37.29688262939453 59.065460205078125 119.04048156738281 95.05227661132812 99.44971466064453 -32.1430549621582 -66.38018035888672 66.92991638183594 -78.45660400390625 25.888328552246094 5.314519882202148 67.78994750976562
1003	118.41569519042969 -2.6160871982574463 -189.22845458984375 36.49726486206055 -1.2138723134994507 -68.03555297851562 -159.3552703857422 -90.1563949584961 207.54783630371094 -218.53350830078125 -188.00091552734375 -48.63920974731445 53.93802261352539 -14.976167678833008 -129.24697875976562 67.51493072509766 50.006282806396484 9.25553035736084 -115.46477508544922 72.93231201171875 68.31328582763672 108.62767028808594 216.22116088867188 168.75042724609375 176.54232788085938 -60.065101623535156 -117.27528381347656 122.7840576171875 -139.1692352294922 45.731109619140625 11.11862850189209 119.47061157226562
1004	27.506690979003906 -0.05865734815597534 -42.84712219238281 8.005388259887695 -0.5884074568748474 -15.827070236206055 -36.08631896972656 -20.93956184387207 47.41191864013672 -49.808921813964844 -42.939659118652344 -10.584430694580078 12.075942993164062 -3.110168933868408 -29.69925880432129 15.128056526184082 11.221606254577637 1.8798022270202637 -25.990760803222656 17.138044357299805 15.186901092529297 24.279483795166016 48.764583587646484 38.25932693481445 40.16775131225586 -13.322938919067383 -27.097620010375977 27.22386360168457 -31.865022659301758 10.491376876831055 2.292227029800415 27.552101135253906
1005	16.98329734802246 -12.565394401550293 -37.411495208740234 3.1298437118530273 -0.5720828771591187 -18.53706932067871 -31.621898651123047 -19.046451568603516 43.288429260253906 -51.452720642089844 -44.19316101074219 -7.194155216217041 9.805343627929688 -5.043740272521973 -28.45730209350586 18.34892463684082 12.453051567077637 -6.5552778244018555 -25.715253829956055 17.934846878051758 4.779930114746094 22.616371154785156 43.259029388427734 48.284549713134766 46.10089874267578 -16.877925872802734 -28.163246154785156 29.859214782714844 -35.95529556274414 5.305750370025635 2.474339246749878 27.619300842285156
1006	53.217041015625 -2.0409157276153564 -87.03618621826172 17.44346809387207 0.23391243815422058 -30.54288673400879 -73.39014434814453 -40.27079772949219 93.83905029296875 -98.89280700683594 -85.40690612792969 -22.97967529296875 25.374462127685547 -7.513594627380371 -58.774112701416016 31.558712005615234 23.536052703857422 4.948238372802734 -53.456809997558594 32.432098388671875 31.58812141418457 50.3739013671875 99.35273742675781 76.21788787841797 79.7277603149414 -28.1739444732666 -52.755767822265625 56.842777252197266 -62.807106018066406 20.571977615356445 5.610080242156982 53.64240264892578
