#node_a node_u csls_score cos_sim
21012 479 -0.000000 0.249303
21281 479 -0.000000 0.249303
22691 479 -0.000000 0.249303
12365 479 -0.000000 0.249303
6610 479 -0.000000 0.249303
9785 479 -0.000000 0.249303
21508 479 -0.000000 0.249303
17655 479 -0.000000 0.249303
2741 479 -0.000000 0.249303
19423 479 -0.000000 0.249303
15003 479 -0.000000 0.249303
14807 479 -0.000000 0.249303
15244 479 -0.000000 0.249303
12781 479 -0.000000 0.249303
1653 479 -0.000000 0.249303
7956 479 -0.000000 0.249303
25346 479 -0.000000 0.249303
773 479 -0.000000 0.249303
4164 479 -0.000000 0.249303
23293 479 -0.000000 0.249303
24955 479 -0.000000 0.249303
25758 479 -0.000000 0.249303
11241 479 -0.000000 0.249303
45 479 -0.000000 0.249303
3372 479 -0.000000 0.249303
6512 479 -0.000000 0.249303
570 479 -0.000000 0.249303
12496 479 -0.000000 0.249303
21847 479 -0.000000 0.249303
2212 479 -0.000000 0.249303
18894 479 -0.000000 0.249303
20635 479 -0.000000 0.249303
22887 479 -0.000000 0.249303
6179 479 -0.000000 0.249303
14540 479 -0.000000 0.249303
13929 479 -0.000000 0.249303
2952 479 -0.000000 0.249303
4511 479 -0.000000 0.249303
6830 479 -0.000000 0.249303
8879 479 -0.000000 0.249303
11472 479 -0.000000 0.249303
12851 479 -0.000000 0.249303
15659 479 -0.000000 0.249303
17692 479 -0.000000 0.249303
19961 479 -0.000000 0.249303
20108 479 -0.000000 0.249303
20562 479 -0.000000 0.249303
13801 479 -0.000000 0.249303
18866 479 -0.000000 0.249303
4513 479 -0.000000 0.249303
10350 479 -0.000000 0.249303
46 479 -0.000000 0.249303
88 479 -0.000000 0.249303
1995 479 -0.000000 0.249303
2338 479 -0.000000 0.249303
2530 479 -0.000000 0.249303
2535 479 -0.000000 0.249303
4755 479 -0.000000 0.249303
6340 479 -0.000000 0.249303
7197 479 -0.000000 0.249303
7635 479 -0.000000 0.249303
9656 479 -0.000000 0.249303
12507 479 -0.000000 0.249303
14766 479 -0.000000 0.249303
15010 479 -0.000000 0.249303
16654 479 -0.000000 0.249303
17807 479 -0.000000 0.249303
18225 479 -0.000000 0.249303
19645 479 -0.000000 0.249303
19939 479 -0.000000 0.249303
9869 479 -0.000000 0.249303
15933 479 -0.000000 0.249303
20576 479 -0.000000 0.249303
24718 479 -0.000000 0.249303
2654 479 -0.000000 0.249303
14265 479 -0.000000 0.249303
22601 479 -0.000000 0.249303
20574 479 -0.000000 0.249303
7650 479 -0.000000 0.249303
14157 479 -0.000000 0.249303
18453 479 -0.000000 0.249303
4834 479 -0.000000 0.249303
