Ga_node	Gu_node
21012	479
21281	479
22691	479
12365	479
6610	479
9785	479
21508	479
17655	479
2741	479
19423	479
15003	479
14807	479
15244	479
12781	479
1653	479
7956	479
25346	479
773	479
4164	479
23293	479
24955	479
25758	479
11241	479
45	479
3372	479
6512	479
570	479
12496	479
21847	479
2212	479
18894	479
20635	479
22887	479
6179	479
14540	479
13929	479
2952	479
4511	479
6830	479
8879	479
11472	479
12851	479
15659	479
17692	479
19961	479
20108	479
20562	479
13801	479
18866	479
4513	479
10350	479
46	479
88	479
1995	479
2338	479
2530	479
2535	479
4755	479
6340	479
7197	479
7635	479
9656	479
12507	479
14766	479
15010	479
16654	479
17807	479
18225	479
19645	479
19939	479
9869	479
15933	479
20576	479
24718	479
2654	479
14265	479
22601	479
20574	479
7650	479
14157	479
18453	479
4834	479
3651	479
9572	479
2449	479
15457	479
18778	479
23712	479
1293	479
2621	479
2623	479
3283	479
3812	479
3820	479
3824	479
5131	479
6222	479
6456	479
6525	479
6868	479
7525	479
8448	479
9433	479
12802	479
13482	479
13526	479
14373	479
15148	479
17600	479
17819	479
17823	479
17824	479
18000	479
18444	479
22324	479
22901	479
24474	479
24479	479
24615	479
26039	479
2710	479
23038	479
5210	479
8727	479
12710	479
15245	479
19446	479
22504	479
4364	479
7689	479
20511	479
6264	479
6700	479
9639	479
9755	479
1488	479
4355	479
9313	479
14648	479
19114	479
21178	479
10762	479
339	479
23382	479
22457	479
231	479
14599	479
6271	479
449	479
5052	479
1023	479
17439	479
20716	479
7444	479
4952	479
13142	479
9017	479
18487	479
6774	479
5901	479
19865	479
23614	479
13276	479
676	479
20478	479
16389	479
7307	479
19640	479
4743	479
22527	479
1000	479
7007	479
14746	479
20373	479
6583	479
9124	479
9471	479
8823	479
2980	479
18208	479
543	479
18396	479
1217	479
14924	479
24559	479
25396	479
10711	479
24057	479
9397	479
3501	479
1563	479
2457	479
3534	479
5065	479
6387	479
14379	479
15562	479
15708	479
15714	479
15805	479
17580	479
18952	479
19677	479
24819	479
2144	479
2774	479
3055	479
3652	479
3655	479
3766	479
3814	479
6388	479
7096	479
9249	479
12051	479
12423	479
12885	479
14808	479
15173	479
15189	479
15999	479
18942	479
19705	479
20250	479
21030	479
21825	479
25108	479
18719	479
24371	479
5621	479
11015	479
23452	479
4846	479
24924	479
21379	479
12545	479
25006	479
13096	479
15108	479
24814	479
14485	479
19870	479
11785	479
6823	479
22177	479
9482	479
4550	479
9184	479
23134	479
16414	479
15145	479
17584	479
23241	479
24616	479
15066	479
9710	479
24696	479
20532	479
24293	479
5346	479
21491	479
9889	479
8116	479
13556	479
16994	479
3877	479
4354	479
5412	479
6544	479
7357	479
7719	479
10477	479
11445	479
12788	479
18185	479
19246	479
19463	479
20780	479
21861	479
22284	479
22741	479
23514	479
24330	479
1588	479
22366	479
4748	479
7350	479
4575	479
16594	479
11275	479
13008	479
11696	479
1958	479
4416	479
17075	479
15300	479
11372	479
4639	479
24617	479
25034	479
16469	479
3843	479
7712	479
22598	479
16148	479
7442	479
4241	479
17385	479
21432	479
5107	479
10096	479
8261	479
22937	479
3939	479
8612	479
615	479
15552	479
8768	479
11400	479
7013	479
2912	479
20765	479
17038	479
16310	479
3113	479
624	479
11861	479
10055	479
23939	479
2250	479
7717	479
13714	479
14767	479
18971	479
19216	479
20534	479
25205	479
3909	479
17330	479
2115	479
1186	479
13597	479
185	479
215	479
351	479
1074	479
1858	479
4512	479
6892	479
8280	479
14542	479
17751	479
18095	479
18143	479
18649	479
18943	479
19573	479
22793	479
21994	479
16006	479
5695	479
5934	479
15455	479
24833	479
2042	479
2846	479
13614	479
21075	479
19297	479
25271	479
23708	479
3310	479
17626	479
16032	479
12927	479
5067	479
6907	479
9025	479
13649	479
25289	479
3409	479
13520	479
19489	479
22423	479
19675	479
593	479
13831	479
13404	479
2072	479
13384	479
19992	479
8045	479
26038	479
12118	479
23967	479
20850	479
10130	479
3231	479
4773	479
6411	479
16352	479
3839	479
20774	479
9829	479
12212	479
20879	479
12842	479
7264	479
7985	479
12453	479
12587	479
12627	479
23896	479
18940	479
14430	479
832	479
3387	479
4703	479
7447	479
9764	479
10117	479
14340	479
14370	479
15006	479
16231	479
16590	479
16730	479
19957	479
21848	479
22320	479
3345	479
23836	479
12491	479
11557	479
10791	479
6154	479
22903	479
25998	479
18540	479
5957	479
2287	479
10243	479
5712	479
14419	479
25080	479
11464	479
17997	479
14512	479
8503	479
15538	479
6934	479
1545	479
18140	479
11077	479
18365	479
23114	479
14834	479
5953	479
17911	479
17379	479
23552	479
10871	479
15435	479
200	479
492	479
6708	479
8151	479
9020	479
9021	479
9208	479
9722	479
16882	479
17022	479
19586	479
19678	479
24861	479
10310	479
16258	479
21968	479
5993	479
15184	479
25201	479
10235	479
7383	479
5385	479
14123	479
482	479
824	479
4146	479
13164	479
16674	479
7844	479
11964	479
18579	479
345	479
12334	479
25286	479
15144	479
14661	479
3716	479
